id,action,actor_role,profile_id,version_id,created_at
"40","PRODUCTION_PROMOTED","SUPERADMIN","5","7","2026-08-22T00:44:59.443Z"
"39","HARDWARE_VERIFIED","FIRMWARE_ADMIN","5","7","2026-08-22T00:44:59.420Z"
"38","DEVELOPMENT_PUBLISHED","FIRMWARE_ADMIN","5","7","2026-08-22T00:43:12.810Z"
"37","REVIEW_ACCEPTED","CLIENT_REVIEWER","5","7","2026-08-22T00:41:38.856Z"
"36","REVIEW_COMMENTED","CLIENT_REVIEWER","5","7","2026-08-22T00:41:33.734Z"
"35","VALIDATION_RECORDED","CLIENT_REVIEWER","5","7","2026-08-22T00:41:33.288Z"
"34","DRAFT_SAVED","FIRMWARE_ADMIN","5","","2026-08-22T00:41:30.699Z"
"33","REVIEW_SUBMITTED","FIRMWARE_ADMIN","5","7","2026-08-22T00:41:29.994Z"
"32","DRAFT_SAVED","FIRMWARE_ADMIN","5","","2026-08-22T00:41:29.974Z"
"31","DRAFT_SAVED","FIRMWARE_ADMIN","5","","2026-08-22T00:41:28.144Z"
"30","PROFILE_CREATED","FIRMWARE_ADMIN","5","","2026-08-22T00:40:30.295Z"
